Source,Target
72586,192515
192559,192515
72585,192515
192513,192515
72584,192515
25449,72305
191499,72305
25449,72304
191499,72304
265072,274316
265071,274306
48246,76317
265069,274233
235238,256962
262436,256962
72303,191503
72302,191503
72303,191504
72302,191504
198877,218064
198877,218066
198877,218051
198877,218069
198877,218052
198877,218053
198877,218062
198877,218054
198877,218070
198877,218068
198877,218056
198877,218058
198877,218055
198877,218057
198877,218059
198877,218060
198877,218067
198877,218061
198877,218063
198877,218065
198877,218071
191796,212293
58544,100181
191796,212291
72047,190975
190971,190975
72047,190974
190971,190974
172651,207480
207478,207480
234763,207480
191796,212241
191793,212241
191264,46688
2659,46688
191791,46688
191793,46688
191793,212240
249208,263866
72772,193337
72772,193336
72772,193334
72772,193338
73016,194359
194374,194359
73016,194358
194374,194358
73016,194357
194374,194357
264879,273840
264879,273839
264879,273838
71971,189955
72671,189955
216713,194078
72911,194078
193999,194078
71720,189644
71720,189643
71720,189642
216713,251166
72913,194143
273861,251069
216377,251069
273861,251065
216377,251065
193892,215986
193892,215987
193892,215988
193892,215989
193892,215990
193892,215991
193887,215969
193892,215992
193892,215993
193892,215994
193892,215995
193892,215996
193892,215997
193892,215998
193892,215999
193892,216001
193892,216000
193892,216002
193892,216003
193892,216004
193892,216005
193892,216006
193892,216007
193892,216008
193892,216009
193892,216010
193892,216011
193892,216012
193892,216013
193892,216014
193892,216015
193892,216016
193892,216017
193892,216018
193892,216019
193892,216020
193892,216021
193892,216023
193892,216022
193892,216024
193892,216025
193892,216026
193892,216028
193892,216027
216181,251046
216181,251047
193892,216029
193892,216030
193892,216031
193892,216032
193892,216033
193892,216034
193892,216035
193892,216036
193892,216037
193892,216038
193892,216039
193892,216040
193892,216041
193892,216042
193892,216043
193892,216047
193892,216048
193892,216049
193892,216044
193892,216045
193892,216046
193892,216050
193892,216051
193892,216052
193892,216053
193892,216054
193892,216056
193892,216055
193892,216057
193892,216058
193892,216060
193892,216059
193892,216061
193892,216062
193892,216063
193892,216064
193892,216065
216713,251163
216713,251164
216713,251165
216713,251161
216713,251167
71720,189645
216378,251082
216378,251084
216378,251085
72469,192128
194353,216987
265053,273874
265053,273875
265053,273876
217197,251412
217197,251411
217197,251413
217192,251392
217201,251432
217201,251431
217193,251396
217193,251397
72913,194141
72913,194142
72913,194140
72913,194144
72913,194147
72913,194146
72913,194145
72912,194110
193997,194110
72913,194110
72912,194109
193997,194109
72913,194109
72772,193335
72913,194148
193893,216073
192421,72602
213619,72602
28430,72602
